bairro,n_estabelecimentos_comercio,n_ativas,n_baixadas_36m,taxa_mortalidade,idade_media_ativas_anos,taxa_fechamento_maps,n_operacional,n_fechado_permanente,meses_desde_ultima_avaliacao_mediana,comercio_local_baixo_movimento
Aclimação,438,194,89,0.31448763250883394,4.215542242638498,,,,,
Alto Umuarama,465,165,88,0.34782608695652173,5.96869723933379,0.0,6.0,0.0,,
Alvorada,14,2,0,0.0,30.72416153319644,,,,,
Bom Jesus,614,125,47,0.27325581395348836,10.240438056125942,0.0,1.0,0.0,,
Brasil,2318,536,199,0.2707482993197279,10.040291356359885,0.0,6.0,0.0,,
Carajás,156,58,26,0.30952380952380953,6.281904222426774,0.0,1.0,0.0,,
Cazeca,257,54,23,0.2987012987012987,9.175247800846703,0.0,1.0,0.0,,
Centro,6162,1296,419,0.24431486880466471,11.257226996560787,0.0,4.0,0.0,,
Chácaras Tubalina e Quartel,479,186,97,0.34275618374558303,3.6756529994921734,0.0,2.0,0.0,,
Cidade Jardim,538,171,87,0.3372093023255814,6.641689782292831,0.0,2.0,0.0,,
Custódio Pereira,1104,292,106,0.2663316582914573,9.275800961998256,0.0,3.0,0.0,,
Daniel Fonseca,494,150,48,0.24242424242424243,10.366196668948207,0.0,2.0,0.0,,
Distrito Industrial,99,25,11,0.3055555555555556,10.69678302532512,0.0,2.0,0.0,,
Dona Zulmira,414,117,43,0.26875,8.677746772202623,,,,,
Fundinho,260,88,43,0.3282442748091603,7.866560886068072,,,,,
Granada,1045,356,150,0.2964426877470356,5.48829876412185,0.0,8.0,0.0,,
Grand Ville,107,70,27,0.27835051546391754,2.165014178155862,,,,,
Granja Marileusa,62,33,11,0.25,3.8646008338000124,,,,,
Guarani,436,139,63,0.3118811881188119,6.235169564553696,0.0,1.0,0.0,,
Gávea,251,127,38,0.23030303030303031,4.697634561593557,0.0,2.0,0.0,,
Jaraguá,753,213,70,0.24734982332155478,7.5880241522142216,0.0,6.0,0.0,,
Jardim Brasília,1234,370,178,0.3248175182481752,7.261150267310431,0.0,6.0,0.0,,
Jardim Canaã,981,348,233,0.4010327022375215,5.146176056393432,0.0,3.0,0.0,,
Jardim Europa,915,400,159,0.2844364937388193,4.652388774811772,0.0,6.0,0.0,,
Jardim Holanda,750,302,145,0.3243847874720358,4.591330441365118,0.0,3.0,0.0,,
Jardim Inconfidência,88,41,18,0.3050847457627119,3.98510876279194,,,,,
Jardim Ipanema,390,130,81,0.38388625592417064,4.343347549097036,0.0,4.0,0.0,,
Jardim Karaíba,217,50,22,0.3055555555555556,7.752388774811773,0.0,1.0,0.0,,
Jardim Patrícia,945,260,141,0.3516209476309227,6.930311167272152,0.0,3.0,0.0,,
Jardim Sul,71,47,18,0.27692307692307694,3.8425444536677023,0.0,2.0,0.0,,
Jardim das Palmeiras,1061,317,143,0.3108695652173913,6.348963697566811,0.0,6.0,0.0,,
Lagoinha,312,103,33,0.2426470588235294,7.026122552049069,,,,,
Laranjeiras,1243,503,223,0.3071625344352617,5.075822954130113,0.0,9.0,0.0,,
Luizote de Freitas,1776,476,200,0.2958579881656805,6.703547127269799,0.0,4.0,0.0,,
Lídice,400,128,30,0.189873417721519,7.847108145106091,0.0,6.0,0.0,,
Mansour,593,178,81,0.3127413127413127,5.744949203639188,0.0,4.0,0.0,,
Maravilha,273,87,37,0.29838709677419356,5.869354166174955,,,,,
Marta Helena,989,241,96,0.28486646884273,8.139721273157418,0.0,6.0,0.0,,
Martins,3467,689,239,0.25754310344827586,12.534163033252568,0.0,4.0,0.0,,
Minas Gerais,517,195,97,0.3321917808219178,5.7083767703890915,0.0,4.0,0.0,,
