zona_codigo,zona_nome,usos_permitidos,fonte_arquivo
ZC1,Zona Central 1,não extraído automaticamente — ver Lei Complementar 812/2026 (texto não acessível a este pipeline),Mapa-Zoneamento-e-Ocupacao-do-Solo-%E2%80%93-Lei-8122_026-e-suas-alteracoes.pdf
ZC2,Zona Central 2,não extraído automaticamente — ver Lei Complementar 812/2026 (texto não acessível a este pipeline),Mapa-Zoneamento-e-Ocupacao-do-Solo-%E2%80%93-Lei-8122_026-e-suas-alteracoes.pdf
ZCE,Zona Centro Empresariais,não extraído automaticamente — ver Lei Complementar 812/2026 (texto não acessível a este pipeline),Mapa-Zoneamento-e-Ocupacao-do-Solo-%E2%80%93-Lei-8122_026-e-suas-alteracoes.pdf
ZCF,Zona Cultural do Fundinho,não extraído automaticamente — ver Lei Complementar 812/2026 (texto não acessível a este pipeline),Mapa-Zoneamento-e-Ocupacao-do-Solo-%E2%80%93-Lei-8122_026-e-suas-alteracoes.pdf
ZCH/A,Zona de Chácaras A,não extraído automaticamente — ver Lei Complementar 812/2026 (texto não acessível a este pipeline),Mapa-Zoneamento-e-Ocupacao-do-Solo-%E2%80%93-Lei-8122_026-e-suas-alteracoes.pdf
ZCH/B,Zona de Chácaras B,não extraído automaticamente — ver Lei Complementar 812/2026 (texto não acessível a este pipeline),Mapa-Zoneamento-e-Ocupacao-do-Solo-%E2%80%93-Lei-8122_026-e-suas-alteracoes.pdf
ZCH/C,Zona de Chácaras C,não extraído automaticamente — ver Lei Complementar 812/2026 (texto não acessível a este pipeline),Mapa-Zoneamento-e-Ocupacao-do-Solo-%E2%80%93-Lei-8122_026-e-suas-alteracoes.pdf
ZEIS I,Zona Especial de Interesse Social I,não extraído automaticamente — ver Lei Complementar 812/2026 (texto não acessível a este pipeline),Mapa-Zoneamento-e-Ocupacao-do-Solo-%E2%80%93-Lei-8122_026-e-suas-alteracoes.pdf
ZEIS II,Zona Especial de Interesse Social II,não extraído automaticamente — ver Lei Complementar 812/2026 (texto não acessível a este pipeline),Mapa-Zoneamento-e-Ocupacao-do-Solo-%E2%80%93-Lei-8122_026-e-suas-alteracoes.pdf
ZI,Zona Industrial,não extraído automaticamente — ver Lei Complementar 812/2026 (texto não acessível a este pipeline),Mapa-Zoneamento-e-Ocupacao-do-Solo-%E2%80%93-Lei-8122_026-e-suas-alteracoes.pdf
ZM,Zona Mista,não extraído automaticamente — ver Lei Complementar 812/2026 (texto não acessível a este pipeline),Mapa-Zoneamento-e-Ocupacao-do-Solo-%E2%80%93-Lei-8122_026-e-suas-alteracoes.pdf
ZPA,Zona de Proteção do Aeroporto,não extraído automaticamente — ver Lei Complementar 812/2026 (texto não acessível a este pipeline),Mapa-Zoneamento-e-Ocupacao-do-Solo-%E2%80%93-Lei-8122_026-e-suas-alteracoes.pdf
ZPL,Zona de Preservação e Lazer,não extraído automaticamente — ver Lei Complementar 812/2026 (texto não acessível a este pipeline),Mapa-Zoneamento-e-Ocupacao-do-Solo-%E2%80%93-Lei-8122_026-e-suas-alteracoes.pdf
ZPP,Zona de Preservação Parcial,não extraído automaticamente — ver Lei Complementar 812/2026 (texto não acessível a este pipeline),Mapa-Zoneamento-e-Ocupacao-do-Solo-%E2%80%93-Lei-8122_026-e-suas-alteracoes.pdf
ZR1A,Zona Residencial 1 A - SEM RESTRIÇÕES PRÓPRIAS,não extraído automaticamente — ver Lei Complementar 812/2026 (texto não acessível a este pipeline),Mapa-Zoneamento-e-Ocupacao-do-Solo-%E2%80%93-Lei-8122_026-e-suas-alteracoes.pdf
ZR1B,Zona Residencial 1 B - COM RESTRIÇÕES PRÓPRIAS,não extraído automaticamente — ver Lei Complementar 812/2026 (texto não acessível a este pipeline),Mapa-Zoneamento-e-Ocupacao-do-Solo-%E2%80%93-Lei-8122_026-e-suas-alteracoes.pdf
ZR2,Zona Residencial 2,não extraído automaticamente — ver Lei Complementar 812/2026 (texto não acessível a este pipeline),Mapa-Zoneamento-e-Ocupacao-do-Solo-%E2%80%93-Lei-8122_026-e-suas-alteracoes.pdf
ZR3,Zona Residencial 3,não extraído automaticamente — ver Lei Complementar 812/2026 (texto não acessível a este pipeline),Mapa-Zoneamento-e-Ocupacao-do-Solo-%E2%80%93-Lei-8122_026-e-suas-alteracoes.pdf
ZRPA,Zona Residencial  de Proteção Ambiental,não extraído automaticamente — ver Lei Complementar 812/2026 (texto não acessível a este pipeline),Mapa-Zoneamento-e-Ocupacao-do-Solo-%E2%80%93-Lei-8122_026-e-suas-alteracoes.pdf
ZSR/A,Zona de Sitios de Recreio A - 5 mil m²,não extraído automaticamente — ver Lei Complementar 812/2026 (texto não acessível a este pipeline),Mapa-Zoneamento-e-Ocupacao-do-Solo-%E2%80%93-Lei-8122_026-e-suas-alteracoes.pdf
ZSR/B,Zona de Sitios de Recreio B - 1 mil m²,não extraído automaticamente — ver Lei Complementar 812/2026 (texto não acessível a este pipeline),Mapa-Zoneamento-e-Ocupacao-do-Solo-%E2%80%93-Lei-8122_026-e-suas-alteracoes.pdf
ZT,Zona de Transição,não extraído automaticamente — ver Lei Complementar 812/2026 (texto não acessível a este pipeline),Mapa-Zoneamento-e-Ocupacao-do-Solo-%E2%80%93-Lei-8122_026-e-suas-alteracoes.pdf
ZTEC,Zona Tecnológica,não extraído automaticamente — ver Lei Complementar 812/2026 (texto não acessível a este pipeline),Mapa-Zoneamento-e-Ocupacao-do-Solo-%E2%80%93-Lei-8122_026-e-suas-alteracoes.pdf
ZU,Zona Universitária,não extraído automaticamente — ver Lei Complementar 812/2026 (texto não acessível a este pipeline),Mapa-Zoneamento-e-Ocupacao-do-Solo-%E2%80%93-Lei-8122_026-e-suas-alteracoes.pdf
